"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"197","all","X50","dich","a1",197,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1971","all","X50","dich","a2",197,-0.32503987256645,-Inf,Inf,TRUE,"none",NA,NA
"1972","all","X50","dich","a3",197,0.199830257230247,-Inf,Inf,TRUE,"none",NA,NA
"198","all","X50","dich","d",198,3.72640299742241,-Inf,Inf,TRUE,"none",NA,NA
"199","all","X50","dich","g",199,0,0,1,FALSE,"none",NA,NA
"200","all","X50","dich","u",200,1,0,1,FALSE,"none",NA,NA
"201","all","X52","dich","a1",201,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2011","all","X52","dich","a2",201,-0.665056244228704,-Inf,Inf,TRUE,"none",NA,NA
"2012","all","X52","dich","a3",201,-0.545568702050619,-Inf,Inf,TRUE,"none",NA,NA
"202","all","X52","dich","d",202,3.74127621827601,-Inf,Inf,TRUE,"none",NA,NA
"203","all","X52","dich","g",203,0,0,1,FALSE,"none",NA,NA
"204","all","X52","dich","u",204,1,0,1,FALSE,"none",NA,NA
"205","all","X54","dich","a1",205,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2051","all","X54","dich","a2",205,-0.101407994271254,-Inf,Inf,TRUE,"none",NA,NA
"2052","all","X54","dich","a3",205,0.49307822928637,-Inf,Inf,TRUE,"none",NA,NA
"206","all","X54","dich","d",206,5.02280951115021,-Inf,Inf,TRUE,"none",NA,NA
"207","all","X54","dich","g",207,0,0,1,FALSE,"none",NA,NA
"208","all","X54","dich","u",208,1,0,1,FALSE,"none",NA,NA
"209","all","X55","dich","a1",209,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2091","all","X55","dich","a2",209,0.374443541694408,-Inf,Inf,TRUE,"none",NA,NA
"2092","all","X55","dich","a3",209,0.422726600636662,-Inf,Inf,TRUE,"none",NA,NA
"210","all","X55","dich","d",210,5.16322147175042,-Inf,Inf,TRUE,"none",NA,NA
"2111","all","X55","dich","g",211,0,0,1,FALSE,"none",NA,NA
